#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Power,Is_Augmented
18,PidgeotMega Pidgeot,583,84,88,74,140,80,117,1,0,Flying,1
18,PidgeotMega Pidgeot,568,85,74,79,126,82,122,1,0,Flying,1
18,PidgeotMega Pidgeot,560,70,83,81,121,83,122,1,0,Flying,1
18,PidgeotMega Pidgeot,574,81,82,74,135,74,128,1,0,Flying,1
18,PidgeotMega Pidgeot,584,83,84,82,132,81,122,1,0,Flying,1
18,PidgeotMega Pidgeot,593,85,79,86,139,84,120,1,0,Flying,1
18,PidgeotMega Pidgeot,576,78,81,81,125,81,130,1,0,Flying,1
18,PidgeotMega Pidgeot,574,87,82,82,126,75,122,1,0,Flying,1
18,PidgeotMega Pidgeot,576,85,79,88,128,83,113,1,0,Flying,1
18,PidgeotMega Pidgeot,564,87,84,81,128,74,110,1,0,Flying,1
18,PidgeotMega Pidgeot,574,81,75,78,139,81,120,1,0,Flying,1
18,PidgeotMega Pidgeot,597,87,84,82,138,82,124,1,0,Flying,1
18,PidgeotMega Pidgeot,583,85,80,80,128,77,133,1,0,Flying,1
18,PidgeotMega Pidgeot,575,81,81,84,135,73,121,1,0,Flying,1
18,PidgeotMega Pidgeot,597,90,79,84,141,78,125,1,0,Flying,1
18,PidgeotMega Pidgeot,576,77,83,84,135,78,119,1,0,Flying,1
18,PidgeotMega Pidgeot,591,90,83,79,141,83,115,1,0,Flying,1
18,PidgeotMega Pidgeot,578,87,75,77,128,79,132,1,0,Flying,1
18,PidgeotMega Pidgeot,573,82,79,81,128,77,126,1,0,Flying,1
18,PidgeotMega Pidgeot,592,85,84,72,144,88,119,1,0,Flying,1
18,PidgeotMega Pidgeot,574,86,80,76,143,72,117,1,0,Flying,1
18,PidgeotMega Pidgeot,570,73,79,85,123,81,129,1,0,Flying,1
18,PidgeotMega Pidgeot,577,85,80,78,133,85,116,1,0,Flying,1
18,PidgeotMega Pidgeot,544,77,78,76,125,77,111,1,0,Flying,1
18,PidgeotMega Pidgeot,592,89,75,83,141,76,128,1,0,Flying,1
18,PidgeotMega Pidgeot,596,83,87,82,137,80,127,1,0,Flying,1
18,PidgeotMega Pidgeot,558,80,76,76,138,76,112,1,0,Flying,1
18,PidgeotMega Pidgeot,609,88,78,86,152,79,126,1,0,Flying,1
18,PidgeotMega Pidgeot,584,87,88,78,128,80,123,1,0,Flying,1
18,PidgeotMega Pidgeot,584,86,86,88,139,76,109,1,0,Flying,1
18,PidgeotMega Pidgeot,577,89,82,77,131,84,114,1,0,Flying,1
18,PidgeotMega Pidgeot,574,80,78,77,137,79,123,1,0,Flying,1
18,PidgeotMega Pidgeot,565,81,68,80,134,80,122,1,0,Flying,1
18,PidgeotMega Pidgeot,575,84,80,81,138,81,111,1,0,Flying,1
18,PidgeotMega Pidgeot,563,80,75,77,129,83,119,1,0,Flying,1
18,PidgeotMega Pidgeot,554,81,77,75,130,78,113,1,0,Flying,1
18,PidgeotMega Pidgeot,552,74,76,77,135,75,115,1,0,Flying,1
18,PidgeotMega Pidgeot,588,82,81,87,137,81,120,1,0,Flying,1
18,PidgeotMega Pidgeot,583,89,79,78,135,80,122,1,0,Flying,1
18,PidgeotMega Pidgeot,555,79,81,82,129,74,110,1,0,Flying,1
18,PidgeotMega Pidgeot,576,83,84,83,136,79,111,1,0,Flying,1
18,PidgeotMega Pidgeot,556,82,75,76,126,76,121,1,0,Flying,1
18,PidgeotMega Pidgeot,585,82,78,81,148,79,117,1,0,Flying,1
18,PidgeotMega Pidgeot,572,82,78,78,127,81,126,1,0,Flying,1
18,PidgeotMega Pidgeot,580,82,81,87,132,80,118,1,0,Flying,1
18,PidgeotMega Pidgeot,575,84,77,74,143,82,115,1,0,Flying,1
18,PidgeotMega Pidgeot,549,84,75,72,126,72,120,1,0,Flying,1
18,PidgeotMega Pidgeot,559,81,72,83,135,73,115,1,0,Flying,1
18,PidgeotMega Pidgeot,580,82,81,80,144,79,114,1,0,Flying,1
18,PidgeotMega Pidgeot,580,79,87,71,140,79,124,1,0,Flying,1
18,PidgeotMega Pidgeot,575,78,83,78,136,80,120,1,0,Flying,1
18,PidgeotMega Pidgeot,583,82,77,79,146,76,123,1,0,Flying,1
18,PidgeotMega Pidgeot,577,82,80,87,126,77,125,1,0,Flying,1
18,PidgeotMega Pidgeot,579,83,81,79,139,79,118,1,0,Flying,1
18,PidgeotMega Pidgeot,587,89,77,84,141,73,123,1,0,Flying,1
18,PidgeotMega Pidgeot,600,86,87,89,133,74,131,1,0,Flying,1
18,PidgeotMega Pidgeot,581,84,79,82,133,83,120,1,0,Flying,1
18,PidgeotMega Pidgeot,593,80,83,78,142,87,123,1,0,Flying,1
18,PidgeotMega Pidgeot,593,95,84,78,137,82,117,1,0,Flying,1
18,PidgeotMega Pidgeot,593,82,81,85,138,86,121,1,0,Flying,1
18,PidgeotMega Pidgeot,577,81,80,82,138,74,122,1,0,Flying,1
18,PidgeotMega Pidgeot,569,89,77,78,136,75,114,1,0,Flying,1
18,PidgeotMega Pidgeot,581,85,85,75,133,76,127,1,0,Flying,1
18,PidgeotMega Pidgeot,596,77,81,84,146,78,130,1,0,Flying,1
18,PidgeotMega Pidgeot,565,84,76,80,133,78,114,1,0,Flying,1
18,PidgeotMega Pidgeot,578,82,84,75,129,79,129,1,0,Flying,1
18,PidgeotMega Pidgeot,561,83,83,78,127,77,113,1,0,Flying,1
18,PidgeotMega Pidgeot,592,73,77,78,146,85,133,1,0,Flying,1
18,PidgeotMega Pidgeot,596,81,83,75,147,82,128,1,0,Flying,1
18,PidgeotMega Pidgeot,571,83,80,77,134,81,116,1,0,Flying,1
18,PidgeotMega Pidgeot,584,91,80,84,131,79,119,1,0,Flying,1
18,PidgeotMega Pidgeot,578,84,80,83,139,79,113,1,0,Flying,1
18,PidgeotMega Pidgeot,559,78,79,76,131,72,123,1,0,Flying,1
18,PidgeotMega Pidgeot,561,77,78,78,128,81,119,1,0,Flying,1
18,PidgeotMega Pidgeot,575,84,84,78,133,75,121,1,0,Flying,1
18,PidgeotMega Pidgeot,580,91,79,84,123,83,120,1,0,Flying,1
18,PidgeotMega Pidgeot,572,87,76,80,133,82,114,1,0,Flying,1
18,PidgeotMega Pidgeot,573,82,78,83,129,76,125,1,0,Flying,1
18,PidgeotMega Pidgeot,559,78,80,74,127,76,124,1,0,Flying,1
18,PidgeotMega Pidgeot,612,84,81,80,154,83,130,1,0,Flying,1
18,PidgeotMega Pidgeot,577,89,82,80,127,78,121,1,0,Flying,1
18,PidgeotMega Pidgeot,578,79,80,82,135,77,125,1,0,Flying,1
18,PidgeotMega Pidgeot,574,80,81,78,133,77,125,1,0,Flying,1
18,PidgeotMega Pidgeot,567,87,76,82,128,77,117,1,0,Flying,1
18,PidgeotMega Pidgeot,604,86,86,77,146,87,122,1,0,Flying,1
18,PidgeotMega Pidgeot,577,80,78,83,127,89,120,1,0,Flying,1
18,PidgeotMega Pidgeot,591,87,82,79,139,87,117,1,0,Flying,1
18,PidgeotMega Pidgeot,578,77,86,75,130,82,128,1,0,Flying,1
18,PidgeotMega Pidgeot,597,85,75,83,143,83,128,1,0,Flying,1
18,PidgeotMega Pidgeot,584,81,81,75,139,88,120,1,0,Flying,1
18,PidgeotMega Pidgeot,589,85,74,86,137,80,127,1,0,Flying,1
19,Rattata,253,30,56,35,25,35,72,1,0,Normal,0
19,Rattata,249,29,58,34,25,36,67,1,0,Normal,1
19,Rattata,266,29,62,36,24,37,78,1,0,Normal,1
19,Rattata,257,32,58,35,25,31,76,1,0,Normal,1
19,Rattata,256,31,57,37,27,33,71,1,0,Normal,1
19,Rattata,256,32,58,31,24,36,75,1,0,Normal,1
19,Rattata,253,29,59,37,24,34,70,1,0,Normal,1
19,Rattata,259,30,57,36,25,36,75,1,0,Normal,1
19,Rattata,256,32,55,36,26,36,71,1,0,Normal,1
19,Rattata,254,32,53,36,25,34,74,1,0,Normal,1
19,Rattata,245,28,56,37,24,34,66,1,0,Normal,1
19,Rattata,252,27,54,38,28,33,72,1,0,Normal,1
19,Rattata,243,28,51,33,26,35,70,1,0,Normal,1
19,Rattata,249,30,55,35,24,36,69,1,0,Normal,1
19,Rattata,243,27,53,36,24,34,69,1,0,Normal,1
19,Rattata,248,30,56,35,24,34,69,1,0,Normal,1
19,Rattata,253,29,54,36,25,34,75,1,0,Normal,1
19,Rattata,248,29,55,38,25,34,67,1,0,Normal,1
19,Rattata,255,29,59,35,26,36,70,1,0,Normal,1
19,Rattata,254,30,56,35,25,34,74,1,0,Normal,1
19,Rattata,251,33,54,32,25,34,73,1,0,Normal,1
19,Rattata,251,27,56,36,27,34,71,1,0,Normal,1
19,Rattata,256,31,55,31,26,35,78,1,0,Normal,1
19,Rattata,250,30,59,32,25,34,70,1,0,Normal,1
19,Rattata,251,30,56,31,26,34,74,1,0,Normal,1
19,Rattata,256,33,58,32,26,37,70,1,0,Normal,1
19,Rattata,250,30,54,36,24,35,71,1,0,Normal,1
19,Rattata,248,31,53,33,23,35,73,1,0,Normal,1
19,Rattata,260,28,59,37,25,35,76,1,0,Normal,1
19,Rattata,257,30,58,38,28,33,70,1,0,Normal,1
19,Rattata,255,29,56,35,25,35,75,1,0,Normal,1
19,Rattata,254,29,55,34,24,37,75,1,0,Normal,1
19,Rattata,255,30,55,36,26,35,73,1,0,Normal,1
19,Rattata,250,31,57,35,24,35,68,1,0,Normal,1
19,Rattata,253,28,55,33,25,37,75,1,0,Normal,1
19,Rattata,254,30,57,37,24,32,74,1,0,Normal,1
19,Rattata,245,29,53,37,24,33,69,1,0,Normal,1
19,Rattata,256,30,55,34,27,35,75,1,0,Normal,1
19,Rattata,259,28,57,35,26,37,76,1,0,Normal,1
19,Rattata,242,28,53,35,24,35,67,1,0,Normal,1
19,Rattata,245,28,56,36,26,32,67,1,0,Normal,1
19,Rattata,251,29,57,33,26,34,72,1,0,Normal,1
19,Rattata,255,30,61,36,25,32,71,1,0,Normal,1
19,Rattata,261,31,54,35,27,35,79,1,0,Normal,1
19,Rattata,249,29,52,35,26,35,72,1,0,Normal,1
19,Rattata,253,31,59,35,24,38,66,1,0,Normal,1
19,Rattata,245,29,54,33,25,32,72,1,0,Normal,1
19,Rattata,245,29,57,34,25,31,69,1,0,Normal,1
19,Rattata,245,33,52,35,24,34,67,1,0,Normal,1
19,Rattata,249,30,60,32,25,34,68,1,0,Normal,1
19,Rattata,263,30,55,36,25,36,81,1,0,Normal,1
19,Rattata,251,28,53,35,23,39,73,1,0,Normal,1
19,Rattata,262,31,57,40,26,32,76,1,0,Normal,1
19,Rattata,261,29,62,35,24,36,75,1,0,Normal,1
19,Rattata,250,30,53,36,24,38,69,1,0,Normal,1
19,Rattata,238,30,53,35,22,33,65,1,0,Normal,1
19,Rattata,255,31,60,37,24,33,70,1,0,Normal,1
19,Rattata,253,31,58,34,25,36,69,1,0,Normal,1
19,Rattata,256,30,61,36,25,36,68,1,0,Normal,1
19,Rattata,257,31,57,36,25,36,72,1,0,Normal,1
19,Rattata,248,31,53,36,26,31,71,1,0,Normal,1
19,Rattata,246,29,55,31,26,34,71,1,0,Normal,1
19,Rattata,251,31,57,33,24,36,70,1,0,Normal,1
19,Rattata,248,28,56,34,25,33,72,1,0,Normal,1
19,Rattata,250,32,54,34,26,35,69,1,0,Normal,1
19,Rattata,253,30,52,34,25,38,74,1,0,Normal,1
19,Rattata,246,32,53,33,25,38,65,1,0,Normal,1
19,Rattata,259,33,55,35,26,33,77,1,0,Normal,1
19,Rattata,250,29,54,37,23,35,72,1,0,Normal,1
19,Rattata,250,28,55,38,25,32,72,1,0,Normal,1
19,Rattata,255,32,55,35,24,35,74,1,0,Normal,1
19,Rattata,247,28,58,35,24,35,67,1,0,Normal,1
19,Rattata,258,33,51,38,25,35,76,1,0,Normal,1
19,Rattata,259,30,59,34,26,37,73,1,0,Normal,1
19,Rattata,243,29,49,34,27,33,71,1,0,Normal,1
19,Rattata,256,31,58,36,25,33,73,1,0,Normal,1
19,Rattata,255,31,56,36,25,33,74,1,0,Normal,1
19,Rattata,252,30,55,35,25,34,73,1,0,Normal,1
19,Rattata,242,29,56,34,24,34,65,1,0,Normal,1
19,Rattata,254,33,51,34,27,33,76,1,0,Normal,1
19,Rattata,251,27,55,36,26,33,74,1,0,Normal,1
19,Rattata,254,33,55,37,25,33,71,1,0,Normal,1
19,Rattata,245,33,56,34,23,31,68,1,0,Normal,1
19,Rattata,250,27,50,35,25,38,75,1,0,Normal,1
19,Rattata,257,31,57,35,27,37,70,1,0,Normal,1
19,Rattata,258,30,56,37,26,35,74,1,0,Normal,1
19,Rattata,254,30,59,36,25,34,70,1,0,Normal,1
19,Rattata,254,31,58,36,24,34,71,1,0,Normal,1
19,Rattata,250,29,59,34,24,34,70,1,0,Normal,1
19,Rattata,252,30,60,34,26,33,69,1,0,Normal,1
19,Rattata,252,30,59,33,24,35,71,1,0,Normal,1
19,Rattata,255,30,59,36,24,33,73,1,0,Normal,1
19,Rattata,247,30,57,34,26,34,66,1,0,Normal,1
19,Rattata,247,28,57,34,23,34,71,1,0,Normal,1
19,Rattata,248,31,52,36,25,33,71,1,0,Normal,1
19,Rattata,249,29,58,36,25,32,69,1,0,Normal,1
19,Rattata,240,30,51,32,25,33,69,1,0,Normal,1
19,Rattata,248,30,56,32,25,35,70,1,0,Normal,1
19,Rattata,244,27,54,33,24,33,73,1,0,Normal,1
19,Rattata,252,30,52,35,25,37,73,1,0,Normal,1
20,Raticate,413,55,81,60,50,70,97,1,0,Normal,0
20,Raticate,400,53,79,59,49,66,94,1,0,Normal,1
20,Raticate,410,55,80,58,50,71,96,1,0,Normal,1
20,Raticate,419,51,86,66,49,69,98,1,0,Normal,1
20,Raticate,426,54,84,60,51,77,100,1,0,Normal,1
20,Raticate,400,54,79,58,49,65,95,1,0,Normal,1
20,Raticate,421,57,84,58,49,73,100,1,0,Normal,1
20,Raticate,409,51,84,59,49,66,100,1,0,Normal,1
20,Raticate,412,57,85,58,45,72,95,1,0,Normal,1
20,Raticate,392,55,79,54,45,72,87,1,0,Normal,1
20,Raticate,411,58,78,62,49,70,94,1,0,Normal,1
20,Raticate,405,52,80,57,50,71,95,1,0,Normal,1
20,Raticate,407,51,74,56,50,70,106,1,0,Normal,1
20,Raticate,402,46,85,54,50,65,102,1,0,Normal,1
20,Raticate,411,51,84,60,51,69,96,1,0,Normal,1
20,Raticate,411,58,79,62,49,68,95,1,0,Normal,1
20,Raticate,420,55,82,65,52,72,94,1,0,Normal,1
20,Raticate,406,56,78,60,46,71,95,1,0,Normal,1
20,Raticate,413,56,80,62,49,62,104,1,0,Normal,1
20,Raticate,421,55,79,61,50,76,100,1,0,Normal,1
20,Raticate,421,49,86,61,52,75,98,1,0,Normal,1
20,Raticate,408,54,84,65,49,62,94,1,0,Normal,1
20,Raticate,416,60,81,54,50,66,105,1,0,Normal,1
20,Raticate,408,54,74,59,46,75,100,1,0,Normal,1
20,Raticate,422,53,78,63,50,77,101,1,0,Normal,1
20,Raticate,414,59,87,59,54,66,89,1,0,Normal,1
20,Raticate,429,54,85,64,55,70,101,1,0,Normal,1
20,Raticate,419,56,83,60,51,66,103,1,0,Normal,1
20,Raticate,419,58,80,65,50,68,98,1,0,Normal,1
20,Raticate,403,58,70,62,48,70,95,1,0,Normal,1
20,Raticate,421,60,80,61,47,67,106,1,0,Normal,1
20,Raticate,411,58,74,63,50,75,91,1,0,Normal,1
20,Raticate,415,58,81,62,51,72,91,1,0,Normal,1
20,Raticate,410,53,76,56,50,70,105,1,0,Normal,1
20,Raticate,415,57,77,59,52,70,100,1,0,Normal,1
20,Raticate,397,54,83,53,48,67,92,1,0,Normal,1
20,Raticate,412,57,75,63,51,69,97,1,0,Normal,1
20,Raticate,409,56,79,59,50,72,93,1,0,Normal,1
20,Raticate,405,51,82,58,48,70,96,1,0,Normal,1
20,Raticate,414,52,80,63,49,71,99,1,0,Normal,1
20,Raticate,403,57,74,60,54,64,94,1,0,Normal,1
20,Raticate,407,55,76,63,50,63,100,1,0,Normal,1
20,Raticate,411,53,82,64,49,68,95,1,0,Normal,1
20,Raticate,413,58,83,56,56,67,93,1,0,Normal,1
20,Raticate,405,51,77,62,47,66,102,1,0,Normal,1
20,Raticate,421,54,82,60,53,75,97,1,0,Normal,1
20,Raticate,414,56,79,61,53,66,99,1,0,Normal,1
20,Raticate,411,53,81,60,48,71,98,1,0,Normal,1
20,Raticate,411,55,86,58,46,73,93,1,0,Normal,1
20,Raticate,421,56,85,67,48,71,94,1,0,Normal,1
20,Raticate,423,53,80,62,50,73,105,1,0,Normal,1
20,Raticate,425,54,79,68,50,69,105,1,0,Normal,1
20,Raticate,425,55,84,62,50,76,98,1,0,Normal,1
20,Raticate,404,56,75,53,52,72,96,1,0,Normal,1
20,Raticate,424,58,86,60,51,71,98,1,0,Normal,1
20,Raticate,398,52,80,60,45,69,92,1,0,Normal,1
20,Raticate,409,56,75,58,53,70,97,1,0,Normal,1
20,Raticate,413,55,80,61,49,71,97,1,0,Normal,1
20,Raticate,399,52,84,53,47,65,98,1,0,Normal,1
20,Raticate,404,58,78,59,51,65,93,1,0,Normal,1
20,Raticate,416,55,80,61,54,67,99,1,0,Normal,1
20,Raticate,413,57,81,65,44,69,97,1,0,Normal,1
20,Raticate,420,50,89,58,52,72,99,1,0,Normal,1
20,Raticate,424,56,86,65,49,67,101,1,0,Normal,1
20,Raticate,422,59,77,61,52,75,98,1,0,Normal,1
20,Raticate,407,59,76,56,47,68,101,1,0,Normal,1
20,Raticate,423,51,86,57,51,74,104,1,0,Normal,1
20,Raticate,416,54,82,60,50,69,101,1,0,Normal,1
20,Raticate,410,60,79,57,47,74,93,1,0,Normal,1
20,Raticate,408,55,75,61,48,68,101,1,0,Normal,1
20,Raticate,419,56,85,59,50,67,102,1,0,Normal,1
20,Raticate,417,60,82,58,47,69,101,1,0,Normal,1
20,Raticate,419,52,80,61,54,72,100,1,0,Normal,1
20,Raticate,417,59,83,62,51,66,96,1,0,Normal,1
20,Raticate,415,57,76,60,51,72,99,1,0,Normal,1
20,Raticate,416,52,85,64,48,74,93,1,0,Normal,1
20,Raticate,417,58,86,60,50,69,94,1,0,Normal,1
20,Raticate,399,52,79,57,50,65,96,1,0,Normal,1
20,Raticate,405,54,78,61,51,69,92,1,0,Normal,1
20,Raticate,409,57,75,60,50,62,105,1,0,Normal,1
20,Raticate,414,56,81,61,51,67,98,1,0,Normal,1
20,Raticate,410,58,79,58,50,71,94,1,0,Normal,1
20,Raticate,412,55,81,65,44,69,98,1,0,Normal,1
20,Raticate,431,59,79,63,53,78,99,1,0,Normal,1
20,Raticate,415,58,80,62,52,69,94,1,0,Normal,1
20,Raticate,407,58,76,53,56,70,94,1,0,Normal,1
20,Raticate,404,55,83,61,51,67,87,1,0,Normal,1
20,Raticate,406,56,76,57,51,68,98,1,0,Normal,1
20,Raticate,424,60,88,60,50,73,93,1,0,Normal,1
20,Raticate,405,51,87,61,51,69,86,1,0,Normal,1
20,Raticate,402,57,74,59,45,71,96,1,0,Normal,1
20,Raticate,411,58,82,66,46,66,93,1,0,Normal,1
20,Raticate,421,56,84,59,48,69,105,1,0,Normal,1
20,Raticate,403,56,75,59,48,74,91,1,0,Normal,1
20,Raticate,415,55,82,62,47,70,99,1,0,Normal,1
20,Raticate,403,53,71,57,51,67,104,1,0,Normal,1
20,Raticate,423,52,85,59,53,78,96,1,0,Normal,1
20,Raticate,403,53,79,59,49,67,96,1,0,Normal,1
20,Raticate,433,55,89,63,51,70,105,1,0,Normal,1
20,Raticate,411,56,79,62,47,73,94,1,0,Normal,1
21,Spearow,262,40,60,30,31,31,70,1,0,Flying,0
21,Spearow,261,40,60,29,32,29,71,1,0,Flying,1
21,Spearow,261,39,63,30,27,32,70,1,0,Flying,1
21,Spearow,256,40,60,31,28,31,66,1,0,Flying,1
21,Spearow,257,39,58,27,32,28,73,1,0,Flying,1
21,Spearow,257,38,57,29,31,33,69,1,0,Flying,1
21,Spearow,261,40,59,29,34,32,67,1,0,Flying,1
21,Spearow,267,45,62,28,31,30,71,1,0,Flying,1
21,Spearow,258,42,58,31,28,30,69,1,0,Flying,1
21,Spearow,260,37,59,29,32,30,73,1,0,Flying,1
21,Spearow,260,39,57,30,32,32,70,1,0,Flying,1
21,Spearow,268,41,61,28,33,29,76,1,0,Flying,1
21,Spearow,274,42,65,30,32,31,74,1,0,Flying,1
21,Spearow,272,39,63,30,32,34,74,1,0,Flying,1
21,Spearow,255,40,59,27,29,30,70,1,0,Flying,1
21,Spearow,260,40,60,29,32,32,67,1,0,Flying,1
21,Spearow,265,39,64,31,30,29,72,1,0,Flying,1
21,Spearow,274,41,62,31,31,34,75,1,0,Flying,1
21,Spearow,262,40,64,27,27,33,71,1,0,Flying,1
21,Spearow,265,41,56,28,32,33,75,1,0,Flying,1
21,Spearow,259,39,61,29,31,32,67,1,0,Flying,1
21,Spearow,256,40,59,31,30,31,65,1,0,Flying,1
21,Spearow,268,41,59,32,33,33,70,1,0,Flying,1
21,Spearow,255,38,57,30,32,33,65,1,0,Flying,1
21,Spearow,264,38,57,32,34,31,72,1,0,Flying,1
21,Spearow,258,42,60,30,28,29,69,1,0,Flying,1
21,Spearow,265,41,63,30,30,31,70,1,0,Flying,1
21,Spearow,259,40,58,30,30,27,74,1,0,Flying,1
21,Spearow,258,40,55,30,29,32,72,1,0,Flying,1
21,Spearow,260,41,55,29,32,30,73,1,0,Flying,1
21,Spearow,263,40,57,31,32,32,71,1,0,Flying,1
21,Spearow,260,37,61,31,29,31,71,1,0,Flying,1
21,Spearow,260,40,57,28,31,34,70,1,0,Flying,1
21,Spearow,255,39,59,28,32,30,67,1,0,Flying,1
21,Spearow,267,38,64,29,32,30,74,1,0,Flying,1
21,Spearow,253,38,56,31,30,30,68,1,0,Flying,1
21,Spearow,248,38,53,26,32,33,66,1,0,Flying,1
21,Spearow,268,40,63,30,36,31,68,1,0,Flying,1
21,Spearow,268,41,67,28,33,29,70,1,0,Flying,1
21,Spearow,262,40,63,30,29,34,66,1,0,Flying,1
21,Spearow,270,39,62,29,34,31,75,1,0,Flying,1
21,Spearow,278,42,69,30,32,32,73,1,0,Flying,1
21,Spearow,256,40,58,30,29,31,68,1,0,Flying,1
21,Spearow,261,42,59,30,29,29,72,1,0,Flying,1
21,Spearow,250,40,55,28,32,27,68,1,0,Flying,1
21,Spearow,262,38,63,29,31,31,70,1,0,Flying,1
21,Spearow,271,36,63,32,31,31,78,1,0,Flying,1
21,Spearow,258,37,58,30,30,31,72,1,0,Flying,1
21,Spearow,263,38,59,30,31,33,72,1,0,Flying,1
21,Spearow,260,42,62,29,31,30,66,1,0,Flying,1
21,Spearow,276,41,68,28,31,33,75,1,0,Flying,1
21,Spearow,255,41,63,29,29,30,63,1,0,Flying,1
21,Spearow,274,40,63,30,33,33,75,1,0,Flying,1
21,Spearow,255,37,60,29,26,32,71,1,0,Flying,1
21,Spearow,268,40,60,31,32,30,75,1,0,Flying,1
21,Spearow,262,41,60,28,30,31,72,1,0,Flying,1
21,Spearow,268,41,61,29,31,34,72,1,0,Flying,1
21,Spearow,268,39,64,30,32,31,72,1,0,Flying,1
21,Spearow,258,39,61,29,31,27,71,1,0,Flying,1
21,Spearow,264,39,59,32,31,31,72,1,0,Flying,1
21,Spearow,261,39,58,31,29,33,71,1,0,Flying,1
21,Spearow,275,42,66,32,30,33,72,1,0,Flying,1
21,Spearow,260,41,60,29,30,29,71,1,0,Flying,1
21,Spearow,261,44,62,29,31,27,68,1,0,Flying,1
21,Spearow,266,41,61,30,30,33,71,1,0,Flying,1
21,Spearow,259,42,57,30,30,31,69,1,0,Flying,1
21,Spearow,265,41,57,28,31,34,74,1,0,Flying,1
21,Spearow,264,42,60,28,30,31,73,1,0,Flying,1
21,Spearow,266,40,64,30,31,30,71,1,0,Flying,1
21,Spearow,262,39,55,32,30,32,74,1,0,Flying,1
21,Spearow,266,40,59,31,32,33,71,1,0,Flying,1
21,Spearow,258,42,60,29,30,32,65,1,0,Flying,1
21,Spearow,266,42,62,33,30,31,68,1,0,Flying,1
21,Spearow,268,42,63,32,31,32,68,1,0,Flying,1
21,Spearow,268,42,64,28,30,32,72,1,0,Flying,1
21,Spearow,250,38,56,29,32,32,63,1,0,Flying,1
21,Spearow,273,37,67,30,31,34,74,1,0,Flying,1
21,Spearow,265,43,61,31,29,30,71,1,0,Flying,1
21,Spearow,258,41,57,29,31,32,68,1,0,Flying,1
21,Spearow,263,41,59,30,29,31,73,1,0,Flying,1
21,Spearow,265,39,61,30,30,30,75,1,0,Flying,1
21,Spearow,267,40,61,32,35,30,69,1,0,Flying,1
21,Spearow,260,39,58,31,30,32,70,1,0,Flying,1
21,Spearow,255,41,56,29,30,29,70,1,0,Flying,1
21,Spearow,278,44,56,31,35,33,79,1,0,Flying,1
21,Spearow,257,39,56,30,29,31,72,1,0,Flying,1
21,Spearow,262,42,59,30,29,30,72,1,0,Flying,1
21,Spearow,264,41,60,27,32,33,71,1,0,Flying,1
21,Spearow,262,36,64,30,30,30,72,1,0,Flying,1
21,Spearow,262,40,56,29,33,34,70,1,0,Flying,1
21,Spearow,271,40,63,32,29,34,73,1,0,Flying,1
21,Spearow,268,37,61,32,29,34,75,1,0,Flying,1
21,Spearow,262,41,59,30,29,30,73,1,0,Flying,1
21,Spearow,257,40,60,29,29,31,68,1,0,Flying,1
21,Spearow,248,40,56,31,28,30,63,1,0,Flying,1
21,Spearow,258,41,63,28,31,29,66,1,0,Flying,1
21,Spearow,267,42,58,29,31,32,75,1,0,Flying,1
21,Spearow,264,38,62,31,31,31,71,1,0,Flying,1
21,Spearow,270,41,62,33,29,30,75,1,0,Flying,1
21,Spearow,270,36,61,30,32,32,79,1,0,Flying,1
22,Fearow,442,65,90,65,61,61,100,1,0,Flying,0
22,Fearow,440,69,87,67,64,55,98,1,0,Flying,1
22,Fearow,446,64,87,64,66,63,102,1,0,Flying,1
22,Fearow,454,63,94,67,64,65,101,1,0,Flying,1
22,Fearow,453,65,96,69,58,63,102,1,0,Flying,1
22,Fearow,441,60,86,64,66,63,102,1,0,Flying,1
22,Fearow,447,66,86,66,61,65,103,1,0,Flying,1
22,Fearow,435,63,95,63,62,56,96,1,0,Flying,1
22,Fearow,455,65,97,73,60,60,100,1,0,Flying,1
22,Fearow,429,71,80,63,60,61,94,1,0,Flying,1
22,Fearow,460,69,86,73,62,66,104,1,0,Flying,1
22,Fearow,442,64,88,62,61,62,105,1,0,Flying,1
22,Fearow,464,74,89,69,67,64,101,1,0,Flying,1
22,Fearow,433,59,93,67,60,62,92,1,0,Flying,1
22,Fearow,433,59,92,67,60,57,98,1,0,Flying,1
22,Fearow,450,69,85,69,62,61,104,1,0,Flying,1
22,Fearow,432,61,88,63,62,55,103,1,0,Flying,1
22,Fearow,461,70,95,66,62,66,102,1,0,Flying,1
22,Fearow,436,65,89,67,56,62,97,1,0,Flying,1
22,Fearow,438,65,80,68,63,67,95,1,0,Flying,1
22,Fearow,439,66,89,61,65,62,96,1,0,Flying,1
22,Fearow,435,64,83,63,60,62,103,1,0,Flying,1
22,Fearow,425,64,90,63,55,62,91,1,0,Flying,1
22,Fearow,445,65,96,63,57,61,103,1,0,Flying,1
22,Fearow,451,62,96,70,61,65,97,1,0,Flying,1
22,Fearow,445,63,93,62,64,57,106,1,0,Flying,1
22,Fearow,466,67,97,68,67,67,100,1,0,Flying,1
22,Fearow,453,66,87,69,61,66,104,1,0,Flying,1
22,Fearow,443,66,95,65,59,63,95,1,0,Flying,1
22,Fearow,432,63,88,68,60,56,97,1,0,Flying,1
22,Fearow,427,60,82,63,66,66,90,1,0,Flying,1
22,Fearow,450,75,81,71,62,61,100,1,0,Flying,1
